Umid,TempDHT,Press,Tempbmp,Altitud,TempMedia,Dt,Tempo
50,22,990.40,23.38,-169.38,22.69,1,2620
50,22,990.41,23.36,-169.44,22.68,2,3743
50,22,990.41,23.34,-169.45,22.67,4,5138
50,22,990.41,23.33,-169.46,22.67,5,6260
50,22,990.41,23.31,-169.46,22.65,6,7654
50,22,990.41,23.30,-169.48,22.65,7,8777
50,22,990.41,23.29,-169.49,22.65,9,10172
50,22,990.41,23.29,-169.49,22.65,10,11295
50,22,990.41,23.28,-169.49,22.64,11,12691
50,22,990.41,23.27,-169.46,22.64,12,13816
50,22,990.41,23.27,-169.47,22.64,14,15213
50,22,990.41,23.27,-169.47,22.64,15,16337
50,22,990.41,23.26,-169.45,22.63,16,17733
50,22,990.41,23.26,-169.48,22.63,17,18859
50,22,990.41,23.26,-169.46,22.63,19,20254
50,22,990.41,23.26,-169.45,22.63,20,21380
50,22,990.41,23.25,-169.46,22.63,21,22775
50,22,990.41,23.25,-169.48,22.63,22,23900
50,22,990.41,23.25,-169.46,22.63,24,25295
50,22,990.41,23.25,-169.45,22.63,25,26421
51,22,990.41,23.25,-169.45,22.63,26,27817
51,22,990.40,23.25,-169.42,22.63,27,28942
51,22,990.40,23.25,-169.42,22.63,29,30338
51,22,990.40,23.25,-169.39,22.63,30,31463
51,22,990.41,23.25,-169.43,22.63,31,-32677
51,22,990.41,23.25,-169.43,22.63,33,-31551
51,22,990.40,23.24,-169.40,22.62,34,-30153
51,22,990.40,23.24,-169.42,22.62,35,-29028
51,22,990.41,23.24,-169.46,22.62,36,-27631
51,22,990.41,23.24,-169.45,22.62,38,-26505
51,22,990.41,23.24,-169.46,22.62,39,-25108
51,22,990.41,23.24,-169.46,22.62,40,-23982
50,22,990.40,23.24,-169.42,22.62,41,-22584
50,22,990.40,23.24,-169.42,22.62,43,-21458
50,22,990.41,23.24,-169.43,22.62,44,-20062
50,22,990.41,23.24,-169.45,22.62,45,-18934
50,22,990.41,23.24,-169.46,22.62,47,-17536
50,22,990.41,23.24,-169.48,22.62,48,-16411
50,22,990.41,23.24,-169.48,22.62,49,-15014
50,22,990.41,23.24,-169.48,22.62,50,-13888
50,22,990.41,23.24,-169.43,22.62,52,-12491
50,22,990.40,23.24,-169.42,22.62,53,-11366
51,22,990.40,23.24,-169.42,22.62,54,-9968
51,22,990.41,23.24,-169.43,22.62,55,-8844
50,22,990.40,23.24,-169.42,22.62,57,-7448
50,22,990.41,23.24,-169.43,22.62,58,-6323
50,22,990.41,23.24,-169.43,22.62,59,-4926
50,22,990.41,23.24,-169.45,22.62,60,-3802
50,22,990.41,23.24,-169.45,22.62,62,-2406
50,22,990.41,23.24,-169.49,22.62,63,-1280
50,22,990.41,23.24,-169.46,22.62,64,115
50,22,990.41,23.24,-169.46,22.62,65,1238
50,22,990.41,23.24,-169.45,22.62,67,2632
50,22,990.41,23.24,-169.45,22.62,68,3757
50,22,990.40,23.24,-169.42,22.62,69,5151
50,22,990.40,23.24,-169.42,22.62,70,6276
50,22,990.40,23.24,-169.42,22.62,72,7670
50,22,990.41,23.24,-169.45,22.62,73,8794
50,22,990.41,23.24,-169.48,22.62,74,10188
50,22,990.41,23.24,-169.48,22.62,75,11314
50,22,990.41,23.24,-169.48,22.62,77,12710
50,22,990.41,23.24,-169.45,22.62,78,13835
50,22,990.41,23.24,-169.45,22.62,79,15230
50,22,990.41,23.24,-169.46,22.62,80,16356
50,22,990.41,23.24,-169.46,22.62,82,17753
50,22,990.41,23.24,-169.48,22.62,83,18877
50,22,990.41,23.25,-169.49,22.63,84,20273
50,22,990.41,23.25,-169.48,22.63,85,21398
50,22,990.41,23.25,-169.46,22.63,87,22794
50,22,990.41,23.25,-169.48,22.63,88,23919
50,22,990.42,23.25,-169.54,22.63,89,25316
50,22,990.42,23.25,-169.52,22.63,91,26440
50,22,990.41,23.25,-169.51,22.63,92,27836
50,22,990.41,23.25,-169.49,22.63,93,28961
50,22,990.42,23.25,-169.52,22.63,94,30358
50,22,990.41,23.25,-169.48,22.63,96,31482
50,22,990.41,23.25,-169.48,22.63,97,-32658
50,22,990.41,23.25,-169.46,22.63,98,-31532
50,22,990.41,23.25,-169.45,22.63,99,-30135
50,22,990.41,23.25,-169.45,22.63,101,-29008
50,22,990.41,23.25,-169.46,22.63,102,-27610
50,22,990.41,23.25,-169.46,22.63,103,-26483
50,22,990.41,23.25,-169.45,22.63,105,-25085
50,22,990.41,23.25,-169.46,22.63,106,-23958
50,22,990.41,23.25,-169.46,22.63,107,-22559
50,22,990.41,23.25,-169.48,22.63,108,-21432
50,22,990.41,23.25,-169.49,22.63,110,-20033
50,22,990.41,23.25,-169.46,22.63,111,-18907
50,22,990.40,23.25,-169.42,22.63,112,-17508
50,22,990.40,23.25,-169.39,22.63,113,-16381
50,22,990.40,23.25,-169.39,22.63,115,-14984
50,22,990.40,23.25,-169.38,22.63,116,-13856
50,22,990.40,23.25,-169.34,22.63,117,-12457
50,22,990.39,23.25,-169.33,22.63,118,-11331
50,22,990.39,23.25,-169.31,22.63,120,-9933
50,22,990.39,23.25,-169.31,22.63,121,-8807
50,22,990.39,23.25,-169.30,22.63,122,-7410
50,22,990.40,23.25,-169.34,22.63,123,-6284
50,22,990.40,23.25,-169.36,22.63,125,-4886
50,22,990.40,23.25,-169.36,22.63,126,-3761
50,22,990.40,23.25,-169.38,22.63,127,-2364
50,22,990.40,23.25,-169.36,22.63,128,-1237
50,22,990.40,23.26,-169.39,22.63,130,159
50,22,990.40,23.26,-169.38,22.63,131,1283
50,22,990.40,23.26,-169.34,22.63,132,2679
50,22,990.40,23.26,-169.36,22.63,133,3804
50,22,990.40,23.26,-169.38,22.63,135,5199
50,22,990.40,23.26,-169.39,22.63,136,6325
50,22,990.40,23.26,-169.39,22.63,137,7721
50,22,990.40,23.26,-169.41,22.63,138,8846
50,22,990.40,23.26,-169.42,22.63,140,10242
50,22,990.40,23.26,-169.41,22.63,141,11368
50,22,990.40,23.25,-169.38,22.63,142,12766
50,22,990.40,23.25,-169.41,22.63,144,13891
50,22,990.40,23.25,-169.41,22.63,145,15288
50,22,990.40,23.25,-169.39,22.63,146,16414
50,22,990.40,23.25,-169.38,22.63,147,17811
50,22,990.40,23.25,-169.36,22.63,149,18937
50,22,990.40,23.25,-169.36,22.63,150,20335
50,22,990.40,23.25,-169.38,22.63,151,21460
50,22,990.40,23.25,-169.39,22.63,152,22857
50,22,990.40,23.25,-169.39,22.63,154,23984
50,22,990.40,23.25,-169.34,22.63,155,25380
50,22,990.40,23.25,-169.34,22.63,156,26506
50,22,990.40,23.25,-169.38,22.63,158,27904
50,22,990.40,23.25,-169.38,22.63,159,29029
50,22,990.40,23.25,-169.36,22.63,160,30426
50,22,990.39,23.25,-169.33,22.63,161,31552
50,22,990.39,23.25,-169.33,22.63,163,-32586
50,22,990.39,23.25,-169.33,22.63,164,-31460
50,22,990.39,23.25,-169.33,22.63,165,-30062
50,22,990.40,23.25,-169.34,22.63,166,-28935
50,22,990.40,23.26,-169.39,22.63,168,-27537
50,22,990.40,23.26,-169.39,22.63,169,-26409
50,22,990.40,23.26,-169.38,22.63,170,-25011
50,22,990.40,23.26,-169.38,22.63,171,-23884
